campaign_id,user_id,payment,updated,created_x,isUnpublished,isDeleted,isDraft,isApproved,isPublic,published,cash.available,cash.budget,product.available,product.budget,royalty.available,royalty.budget,equity.available,equity.budget,created_y,planLevel,lastActive,companySize,country,published_status,continued
5d3b2a09d0df737235b2070e,5d38b8a3ff639e1fce35e3ac,"{'cash': {'available': True, 'budget': 5000}, 'product': {'available': True, 'budget': 200}, 'royalty': {'available': False, 'budget': 10}, 'equity': {'available': False, 'budget': 10}}",2019-07-26 16:36:00,2019-07-26 16:27:00,False,False,True,False,False,,True,5000,True,200,False,10.0,False,10.0,2019-07-24 19:59:00,0,2020-01-27 19:31:00,Not Indicated,United States,False,
5d23894a0f300605e857c24c,5c5df153296f393fb45bbb0d,"{'cash': {'available': True, 'budget': 350}, 'product': {'available': True, 'budget': 30}, 'royalty': {'available': False, 'budget': 10}, 'equity': {'available': False, 'budget': 10}}",2019-07-09 21:16:00,2019-07-08 18:19:00,True,False,False,False,False,2019-07-08 20:05:00,True,350,True,30,False,10.0,False,10.0,2019-02-08 21:14:00,0,2019-10-15 20:44:00,Not Indicated,United States,True,1 days 01:11:00
5eaf1855dbe0330de1da424f,5ca9641a288a552580879ed5,"{'cash': {'available': True, 'budget': 5000}, 'product': {'available': False, 'budget': ''}, 'royalty': {'available': True, 'budget': 20}, 'equity': {'available': False, 'budget': 25}}",2020-05-03 20:10:00,2020-05-03 19:15:00,True,False,False,False,False,2020-05-04 14:32:00,True,5000,False,,True,20.0,False,25.0,2019-04-07 02:44:00,0,2020-08-09 12:07:00,Not Indicated,United States,True,-1 days +05:38:00
5eda8bf346e2a16cf8455b45,5ed15fc3e6f1f00dc8a19abb,"{'cash': {'available': True, 'budget': 10000}, 'product': {'available': True, 'budget': 4000}, 'royalty': {'available': True, 'budget': 15}, 'equity': {'available': False, 'budget': 0}}",2020-06-05 19:32:00,2020-06-05 18:16:00,False,False,False,False,True,,True,10000,True,4000,True,15.0,False,0.0,2020-05-29 19:17:00,0,2020-06-05 19:53:00,Not Indicated,United States,False,
5e1f50de3ebbac0dcf979f43,5e1f4fd1d737dd0dd0354f96,"{'cash': {'available': True, 'budget': 5000}, 'product': {'available': True, 'budget': 100}, 'royalty': {'available': False, 'budget': 10}, 'equity': {'available': False, 'budget': 10}}",2020-01-16 18:19:00,2020-01-15 17:50:00,True,False,False,False,False,2020-01-16 18:21:00,True,5000,True,100,False,10.0,False,10.0,2020-01-15 17:45:00,0,2020-02-13 17:55:00,Not Indicated,United States,True,-1 days +23:58:00
5f4643130ee1c70dd5dc9ee0,5f4640a3ad283a0dc70385f0,"{'equity': {'budget': 0, 'available': False}, 'royalty': {'budget': 0, 'available': True}, 'product': {'budget': 500, 'available': True}, 'cash': {'budget': '', 'available': True}}",2020-08-26 11:17:00,2020-08-26 11:10:00,True,False,False,True,False,2020-08-26 11:17:00,True,,True,500,True,0.0,False,0.0,2020-08-26 10:59:00,0,2020-08-26 11:17:00,Not Indicated,United States,True,0 days 00:00:00
5f248c2ff8bacc0dd726231b,5f248a040e4e3f0e000d9dac,"{'cash': {'available': True, 'budget': 500}, 'product': {'available': True, 'budget': 28}, 'royalty': {'available': False, 'budget': 10}, 'equity': {'available': False, 'budget': 10}}",2020-07-31 21:34:00,2020-07-31 21:25:00,True,False,False,True,False,2020-07-31 21:34:00,True,500,True,28,False,10.0,False,10.0,2020-07-31 21:15:00,0,2020-08-27 12:59:00,Not Indicated,United States,True,0 days 00:00:00
5ccbb15b981bb46551e147c9,5ccaf2ad144c892d5d7c6f1d,"{'cash': {'available': True, 'budget': 1500}, 'product': {'available': True, 'budget': 200}, 'royalty': {'available': False, 'budget': 10}, 'equity': {'available': False, 'budget': 10}}",2019-05-03 13:31:00,2019-05-03 03:11:00,True,False,False,False,False,2019-05-08 17:35:00,True,1500,True,200,False,10.0,False,10.0,2019-05-02 13:37:00,0,2019-06-06 13:37:00,Not Indicated,United States,True,-6 days +19:56:00
5f8eee1ff7681f0d2f785f43,5f3ac14e5241b50df1a5795a,"{'cash': {'available': True, 'budget': 2000}, 'product': {'available': True, 'budget': 500, 'requestCC': False}, 'royalty': {'available': False, 'budget': 0}, 'equity': {'available': False, 'budget': 0}}",2020-10-29 13:57:00,2020-10-20 14:03:00,True,False,False,True,False,2020-10-29 13:57:00,True,2000,True,500,False,0.0,False,0.0,2020-08-17 17:41:00,0,2021-02-05 22:22:00,Not Indicated,United States,True,0 days 00:00:00
6096c3e82e0fa80d7ae57b21,5fdbd2e17a93e80d7e4bf80a,"{'cash': {'available': True, 'budget': 5000, 'minBudget': 100}, 'product': {'available': False, 'budget': 100}, 'royalty': {'available': False, 'budget': 10}, 'equity': {'available': False, 'budget': 10}}",2021-05-08 17:01:00,2021-05-08 17:01:00,False,False,True,False,False,,True,5000,False,100,False,10.0,False,10.0,2020-12-17 21:51:00,0,2021-06-16 19:49:00,10 - 49 employees,United States,False,
